feature,importance
PREV_PRODUCT_COMBINATION_POS mobile without interest_MEAN,3.04
LIVINGAPARTMENTS_MEDI,3.0375
NONLIVINGAPARTMENTS_MODE,3.0275
PREV_NAME_PAYMENT_TYPE_Non-cash from your account_MEAN,3.025
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,3.0225
PREV_NAME_GOODS_CATEGORY_Clothing and Accessories_MEAN,2.995
PREV_NAME_PORTFOLIO_Cards_MEAN,2.99
REFUSED_AMT_APPLICATION_MAX,2.9825
BURO_CREDIT_ACTIVE_Sold_MEAN,2.96
POS_NAME_CONTRACT_STATUS_Approved_MEAN,2.9425
CC_AMT_DRAWINGS_POS_CURRENT_MIN,2.93
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,2.9225
CC_CNT_DRAWINGS_CURRENT_MAX,2.9025
PREV_NAME_TYPE_SUITE_Other_B_MEAN,2.8975
NEW_RATIO_PREV_AMT_DOWN_PAYMENT_MAX,2.895
PREV_NAME_TYPE_SUITE_Other_A_MEAN,2.8725
CC_CNT_INSTALMENT_MATURE_CUM_SUM,2.8625
CC_CNT_DRAWINGS_ATM_CURRENT_MAX,2.835
PREV_NAME_PORTFOLIO_POS_MEAN,2.8225
CC_SK_DPD_DEF_MEAN,2.8225
CC_AMT_DRAWINGS_CURRENT_SUM,2.82
NEW_LIVE_IND_KURT,2.7925
REFUSED_AMT_GOODS_PRICE_MAX,2.7925
REFUSED_AMT_APPLICATION_MEAN,2.79
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,2.7775
CC_CNT_DRAWINGS_POS_CURRENT_VAR,2.7675
CC_AMT_BALANCE_VAR,2.755
ACTIVE_MONTHS_BALANCE_MAX_MAX,2.7375
PREV_PRODUCT_COMBINATION_POS other with interest_MEAN,2.7225
BURO_MONTHS_BALANCE_MAX_MAX,2.6975
CC_MONTHS_BALANCE_MEAN,2.6875
NEW_RATIO_PREV_RATE_DOWN_PAYMENT_MAX,2.665
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,2.6575
CC_AMT_PAYMENT_TOTAL_CURRENT_MIN,2.6525
NEW_RATIO_BURO_MONTHS_BALANCE_MAX_MAX,2.635
CC_NAME_CONTRACT_STATUS_Completed_SUM,2.6125
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,2.6125
CC_NAME_CONTRACT_STATUS_Active_VAR,2.5975
PREV_CODE_REJECT_REASON_SCOFR_MEAN,2.5975
CC_NAME_CONTRACT_STATUS_Completed_MEAN,2.5775
CC_SK_DPD_MEAN,2.5725
REFUSED_RATE_DOWN_PAYMENT_MAX,2.5525
CLOSED_AMT_CREDIT_SUM_DEBT_SUM,2.5425
CC_NAME_CONTRACT_STATUS_Active_SUM,2.53
PREV_NAME_SELLER_INDUSTRY_Industry_MEAN,2.5225
CC_CNT_INSTALMENT_MATURE_CUM_MAX,2.495
PREV_NAME_GOODS_CATEGORY_XNA_MEAN,2.495
YEARS_BUILD_MEDI,2.4925
PREV_CODE_REJECT_REASON_XNA_MEAN,2.45
PREV_AMT_GOODS_PRICE_MAX,2.4475
CC_AMT_BALANCE_SUM,2.445
REFUSED_RATE_DOWN_PAYMENT_MIN,2.4375
AMT_REQ_CREDIT_BUREAU_QRT,2.435
CC_AMT_RECEIVABLE_PRINCIPAL_MIN,2.4275
